Satellite_Names,Country_of_Operator_Owner,Operator_Owner,Users_Names,Purpose,Orbit_Classes,Orbit_Types,Perigee_km,Apogee_km,Inclination_degrees,Period_minutes,Launch_Mass_km,Dry_Mass_kg,Power_watts,Launch_Date,Expected_Lifetime_years,Contractors_Names,Contractors_Country_Names,Launch_Site,Launch_Vehicle,COSPAR_Number,NORAD_Number,Comments
1HOPSAT-TD (1st-generation High Optical Performance Satellite),USA,Hera Systems,Commercial,Earth Observation,LEO,Non-Polar Inclined,566,576,36.9,96.08,22,0,0,12/11/2019,0.5,Hera Systems,USA,Satish Dhawan Space Centre,PSLV,2019-089H,44589,Pathfinder for planned earth observation constellation.
"TDRS-3 (Tracking and Data Relay Satellite, TDRS-C) ",USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,Not Available,"35,693","35,878",11.53,1436.06,"3,180","1,600","1,800",9/29/1988,10,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 26),1988-091B,19548,Backup; still partially operational.
FLTSATCOM-8 (USA 46),USA,US Navy,Military,Communications,GEO,Not Available,"35,745","35,829",8.97,"1,436.13","2,310","1,884",0,9/25/1989,5,"TRW, Defense and Space Systems Group",USA,Cape Canaveral,Atlas Centaur,1989-077A,20253,Old system replaced by UFO satellites; this satellite still operational as of 2009.
AAUSat-4,Denmark,University of Aalborg,Civil,Earth Observation,LEO,Sun-Synchronous,442,687,98.2,95.9,1,0,0,4/25/2016,0,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a,2016-025E,41460,Carries AIS system.
Skynet 4C ,United Kingdom,Intelsat/Paradigm Secure Communications (wholly owned by EADS Astrium),Military,Communications,GEO,Not Available,"35,775","35,797",13.6,1436.07,"1,474",850,"1,200",8/30/1990,7,Astrium,France/UK/Germany,Guiana Space Center,Ariane 44LP,1990-079A,20776,Spare. In March 2010 it was announced that the satellite would supplement communications at Antarctica. Provides 5 hrs of communication to the National Science Foundation each day.
"TDRS-5 (Tracking and Data Relay Satellite, TDRS-E)",USA,SES S.A.,Government/Commercial,Communications,GEO,Not Available,"35,773","35,796",9.4,1436.99,"3,180","1,600","1,800",8/2/1991,10,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 43),1991-054B,21639,Used by South Pole station.
"TDRS-6 (Tracking and Data Relay Satellite, TDRS-F)",USA,National Aeronautics and Space Administration (NASA)/SES Americom (SES [Société Européenne des Satellites (SES)]),Government/Commercial,Communications,GEO,Not Available,"35,773","35,787",8.74,1435.7,"3,180","1,600","1,800",1/13/1993,10,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 54),1993-003B,22314,"Tracking and communications with space shuttle, other missions; leased access to C-band by Americom."
"UFO-2 (USA 95) ""UHF Follow-On""",USA,US Navy,Military,Communications,GEO,Not Available,"35,766","35,807",8.27,1436.12,"3,200","1,545","2,800 (EOL)",9/3/1993,0,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1993-056A,22787,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application. Inclined.
"Milstar DFS-1 (USA 99, Milstar 1-F1) (Military Strategic and Tactical Relay)",USA,US Air Force,Military,Communications,GEO,Not Available,"35,754","35,819",5.99,1436.13,"4,536",0,"8,000",2/7/1994,10,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Titan 4A,1994-009A,22988,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system."""
"Mercury 1 (Advanced Vortex 1, USA 105)",USA,National Reconnaissance Office (NRO)/US Air Force,Military,Earth Observation,GEO,Not Available,"35,598","35,976",5.1,1436.13,"8,000","4,000",0,8/27/1994,0,Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,1994-054A,23223,In the $1 billion range; ELINT; signals intelligence.
Astra 1D ,Luxembourg,SES S.A.,Commercial,Communications,GEO,Not Available,"35,776","35,795",1.15,1436.08,"2,924","1,700","3,300",11/1/1994,15,Hughes Space and Communications Co.,USA,Guiana Space Center,Ariane 42P,1994-070A,23331,Primarily backup for Astra 1B and 1C; 18 Ku-band transponders; continental Europe.
"UFO-4 (USA 108, UFO F4 EHF) ""UHF Follow-On""",USA,US Navy,Military,Communications,GEO,Not Available,"35,763","35,775",3.34,1435.22,"3,200","1,545","2,800 (EOL)",1/29/1995,4,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1995-003A,23467,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.
"MSAT 2 (AMSC-1, ACTel-1)",USA/Canada,Mobile Satellite Ventures,Commercial,Communications,GEO,Not Available,"35,776","35,796",4.02,1436.09,"2,850","1,330","3,300",4/7/1995,10,Hughes Space and Communications Co. ,USA,Cape Canaveral,Atlas 2A,1995-019A,23553,Wireless network for North America
"TDRS-7 (Tracking and Data Relay Satellite, TDRS-G)",USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,Not Available,"35,767","35,803",10.6,1436.04,"3,180","1,600","1,800",7/13/1995,10,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 70),1995-035B,23613,"Tracking and communications with space shuttle, other missions."
"DSCS III-F9 (USA 113, DSCS III B-7) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,GEO,Not Available,"35,784","35,784",0,1436.1,"1,156",884,"1,240",7/31/1995,10,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Atlas 2A,1995-038A,23628,Moved to replace GOES 3 in providing internet service to researchers in Antarctica for 3.5 hours per day.
INMARSAT 3 F1 ,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,Not Available,"35,764","35,808",0.08,1436.08,"2,064",860,0,4/3/1996,13,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,1996-020A,23839,"Broadcasting, business services, mobile communications; leased traffic; demand-assigned L-band transponders; Indian Ocean region."
Astra 1F ,Luxembourg,SES S.A.,Commercial,Communications,GEO,Not Available,"35,778","35,797",0.03,1436.15,"3,010","1,800","4,400",4/18/1996,15,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K,1996-021A,23842,Direct tv broadcast to Europe; 16 Ku-band transponders; Europe.
MSAT 1 ,USA/Canada,Mobile Satellite Ventures,Commercial,Communications,GEO,Not Available,"35,763","35,809",1.37,1436.09,"2,850","1,330","3,300",4/20/1996,12,Spar Aerospace,Canada,Guiana Space Center,Ariane 42P,1996-022A,23846,Wireless network for North America
"Mercury 2 (Advanced Vortex 2, USA 118)",USA,National Reconnaissance Office (NRO)/US Air Force,Military,Earth Observation,GEO,Not Available,"33,674","37,900",7.33,1436.12,"8,000","4,000",0,4/24/1996,0,Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,1996-026A,23855,In the $1 billion range; ELINT; signals intelligence.
