Satellite_Names,Launch_Date,Country_of_Operator_Owner,Purpose,Orbit_Classes,Orbit_Types,Period_minutes,Launch_Mass_km,Dry_Mass_kg,Expected_Lifetime_years,Contractors_Country_Names,Launch_Site,Launch_Vehicle,COSPAR_Number,NORAD_Number,Comments,names,count
1HOPSAT-TD (1st-generation High Optical Performance Satellite),12/11/2019,USA,Earth Observation,LEO,Non-Polar Inclined,96.08,22,0,0.5,USA,Satish Dhawan Space Centre,PSLV,2019-089H,44589,Pathfinder for planned earth observation constellation.,USA,1308
"TDRS-3 (Tracking and Data Relay Satellite, TDRS-C) ",9/29/1988,USA,Communications,GEO,Not Available,1436.06,"3,180","1,600",10,USA,Cape Canaveral,Space Shuttle (STS 26),1988-091B,19548,Backup; still partially operational.,China,356
FLTSATCOM-8 (USA 46),9/25/1989,USA,Communications,GEO,Not Available,"1,436.13","2,310","1,884",5,USA,Cape Canaveral,Atlas Centaur,1989-077A,20253,Old system replaced by UFO satellites; this satellite still operational as of 2009.,Russia,167
AAUSat-4,4/25/2016,Denmark,Earth Observation,LEO,Sun-Synchronous,95.9,1,0,0,Denmark,Guiana Space Center,Soyuz 2.1a,2016-025E,41460,Carries AIS system.,United Kingdom,130
Skynet 4C ,8/30/1990,United Kingdom,Communications,GEO,Not Available,1436.07,"1,474",850,7,France/UK/Germany,Guiana Space Center,Ariane 44LP,1990-079A,20776,Spare. In March 2010 it was announced that the satellite would supplement communications at Antarctica. Provides 5 hrs of communication to the National Science Foundation each day.,Japan,78
"TDRS-5 (Tracking and Data Relay Satellite, TDRS-E)",8/2/1991,USA,Communications,GEO,Not Available,1436.99,"3,180","1,600",10,USA,Cape Canaveral,Space Shuttle (STS 43),1991-054B,21639,Used by South Pole station.,Multinational,64
"TDRS-6 (Tracking and Data Relay Satellite, TDRS-F)",1/13/1993,USA,Communications,GEO,Not Available,1435.7,"3,180","1,600",10,USA,Cape Canaveral,Space Shuttle (STS 54),1993-003B,22314,"Tracking and communications with space shuttle, other missions; leased access to C-band by Americom.",India,58
"UFO-2 (USA 95) ""UHF Follow-On""",9/3/1993,USA,Communications,GEO,Not Available,1436.12,"3,200","1,545",0,USA,Cape Canaveral,Atlas 2,1993-056A,22787,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application. Inclined.,ESA,53
"Milstar DFS-1 (USA 99, Milstar 1-F1) (Military Strategic and Tactical Relay)",2/7/1994,USA,Communications,GEO,Not Available,1436.13,"4,536",0,10,USA,Cape Canaveral,Titan 4A,1994-009A,22988,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""",Canada,39
"Mercury 1 (Advanced Vortex 1, USA 105)",8/27/1994,USA,Earth Observation,GEO,Not Available,1436.13,"8,000","4,000",0,USA,Cape Canaveral,Titan IVA,1994-054A,23223,In the $1 billion range; ELINT; signals intelligence.,Germany,37
Astra 1D ,11/1/1994,Luxembourg,Communications,GEO,Not Available,1436.08,"2,924","1,700",15,USA,Guiana Space Center,Ariane 42P,1994-070A,23331,Primarily backup for Astra 1B and 1C; 18 Ku-band transponders; continental Europe.,Luxembourg,32
"UFO-4 (USA 108, UFO F4 EHF) ""UHF Follow-On""",1/29/1995,USA,Communications,GEO,Not Available,1435.22,"3,200","1,545",4,USA,Cape Canaveral,Atlas 2,1995-003A,23467,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,Spain,21
"MSAT 2 (AMSC-1, ACTel-1)",4/7/1995,USA/Canada,Communications,GEO,Not Available,1436.09,"2,850","1,330",10,USA,Cape Canaveral,Atlas 2A,1995-019A,23553,Wireless network for North America,South Korea,16
"TDRS-7 (Tracking and Data Relay Satellite, TDRS-G)",7/13/1995,USA,Communications,GEO,Not Available,1436.04,"3,180","1,600",10,USA,Cape Canaveral,Space Shuttle (STS 70),1995-035B,23613,"Tracking and communications with space shuttle, other missions.",Argentina,16
"DSCS III-F9 (USA 113, DSCS III B-7) (Defense Satellite Communications System)",7/31/1995,USA,Communications,GEO,Not Available,1436.1,"1,156",884,10,USA,Cape Canaveral,Atlas 2A,1995-038A,23628,Moved to replace GOES 3 in providing internet service to researchers in Antarctica for 3.5 hours per day.,Israel,15
