Orig_Sequence,Satellite_Names,Launch_Date,Country_of_Operator_Owner,Launch_Site,Operator_Owner,Purpose,Orbit_Classes,Period_Hours,Period_minutes,Launch_Mass_km
0,1HOPSAT-TD (1st-generation High Optical Performance Satellite),2019-12-11,USA,Satish Dhawan Space Centre,Hera Systems,Earth Observation,LEO,1.6,96.08,22
1,"TDRS-3 (Tracking and Data Relay Satellite, TDRS-C) ",1988-09-29,USA,Cape Canaveral,National Aeronautics and Space Administration (NASA),Communications,GEO,23.93,1436.06,"3,180"
2,FLTSATCOM-8 (USA 46),1989-09-25,USA,Cape Canaveral,US Navy,Communications,GEO,23.94,1436.13,"2,310"
3,AAUSat-4,2016-04-25,Denmark,Guiana Space Center,University of Aalborg,Earth Observation,LEO,1.6,95.9,1
4,Skynet 4C ,1990-08-30,United Kingdom,Guiana Space Center,Intelsat/Paradigm Secure Communications (wholly owned by EADS Astrium),Communications,GEO,23.93,1436.07,"1,474"
5,"TDRS-5 (Tracking and Data Relay Satellite, TDRS-E)",1991-08-02,USA,Cape Canaveral,SES S.A.,Communications,GEO,23.95,1436.99,"3,180"
6,"TDRS-6 (Tracking and Data Relay Satellite, TDRS-F)",1993-01-13,USA,Cape Canaveral,National Aeronautics and Space Administration (NASA)/SES Americom (SES [Société Européenne des Satellites (SES)]),Communications,GEO,23.93,1435.7,"3,180"
7,"UFO-2 (USA 95) ""UHF Follow-On""",1993-09-03,USA,Cape Canaveral,US Navy,Communications,GEO,23.94,1436.12,"3,200"
8,"Milstar DFS-1 (USA 99, Milstar 1-F1) (Military Strategic and Tactical Relay)",1994-02-07,USA,Cape Canaveral,US Air Force,Communications,GEO,23.94,1436.13,"4,536"
9,"Mercury 1 (Advanced Vortex 1, USA 105)",1994-08-27,USA,Cape Canaveral,National Reconnaissance Office (NRO)/US Air Force,Earth Observation,GEO,23.94,1436.13,"8,000"
10,Astra 1D ,1994-11-01,Luxembourg,Guiana Space Center,SES S.A.,Communications,GEO,23.93,1436.08,"2,924"
11,"UFO-4 (USA 108, UFO F4 EHF) ""UHF Follow-On""",1995-01-29,USA,Cape Canaveral,US Navy,Communications,GEO,23.92,1435.22,"3,200"
12,"MSAT 2 (AMSC-1, ACTel-1)",1995-04-07,USA/Canada,Cape Canaveral,Mobile Satellite Ventures,Communications,GEO,23.93,1436.09,"2,850"
13,"TDRS-7 (Tracking and Data Relay Satellite, TDRS-G)",1995-07-13,USA,Cape Canaveral,National Aeronautics and Space Administration (NASA),Communications,GEO,23.93,1436.04,"3,180"
14,"DSCS III-F9 (USA 113, DSCS III B-7) (Defense Satellite Communications System)",1995-07-31,USA,Cape Canaveral,US Air Force,Communications,GEO,23.94,1436.1,"1,156"
15,INMARSAT 3 F1 ,1996-04-03,United Kingdom,Cape Canaveral,"INMARSAT, Ltd.",Communications,GEO,23.93,1436.08,"2,064"
16,Astra 1F ,1996-04-18,Luxembourg,Baikonur Cosmodrome,SES S.A.,Communications,GEO,23.94,1436.15,"3,010"
17,MSAT 1 ,1996-04-20,USA/Canada,Guiana Space Center,Mobile Satellite Ventures,Communications,GEO,23.93,1436.09,"2,850"
18,"Mercury 2 (Advanced Vortex 2, USA 118)",1996-04-24,USA,Cape Canaveral,National Reconnaissance Office (NRO)/US Air Force,Earth Observation,GEO,23.94,1436.12,"8,000"
19,INMARSAT 3 F2 ,1996-09-06,United Kingdom,Baikonur Cosmodrome,"INMARSAT, Ltd.",Communications,GEO,23.94,1436.1,"2,070"
20,"AMC-1 (Americom 1, GE-1)",1996-09-08,USA,Cape Canaveral,SES S.A.,Communications,GEO,23.94,1436.1,"2,783"
21,Aeneas,2012-09-13,USA,Vandenberg AFB,Department of Homeland Security,Technology Development,LEO,1.62,97.4,3
22,INMARSAT 3 F3 ,1996-12-18,United Kingdom,Cape Canaveral,"INMARSAT, Ltd.",Communications,GEO,23.93,1436.07,"2,074"
