,Launch_Date,Launch_Day,Launch_Month,Launch_Year
0,2019-12-11,11,12,2019
1,1988-09-29,29,9,1988
2,1989-09-25,25,9,1989
3,2016-04-25,25,4,2016
4,1990-08-30,30,8,1990
5,1991-08-02,2,8,1991
6,1993-01-13,13,1,1993
7,1993-09-03,3,9,1993
8,1994-02-07,7,2,1994
9,1994-08-27,27,8,1994
10,1994-11-01,1,11,1994
11,1995-01-29,29,1,1995
12,1995-04-07,7,4,1995
13,1995-07-13,13,7,1995
14,1995-07-31,31,7,1995
15,1996-04-03,3,4,1996
16,1996-04-18,18,4,1996
17,1996-04-20,20,4,1996
18,1996-04-24,24,4,1996
19,1996-09-06,6,9,1996
20,1996-09-08,8,9,1996
21,2012-09-13,13,9,2012
22,1996-12-18,18,12,1996
23,2019-08-09,9,8,2019
24,2019-08-09,9,8,2019
25,2018-12-17,17,12,2018
26,2018-12-17,17,12,2018
27,2018-07-16,16,7,2018
28,2018-07-16,16,7,2018
29,2020-01-31,31,1,2020
30,2020-01-31,31,1,2020
31,2020-01-31,31,1,2020
32,2015-10-08,8,10,2015
33,2014-06-19,19,6,2014
34,2014-06-19,19,6,2014
35,2015-10-08,8,10,2015
36,2015-05-20,20,5,2015
37,2015-05-20,20,5,2015
38,2016-11-11,11,11,2016
39,1997-01-30,30,1,1997
40,2007-04-25,25,4,2007
41,2014-06-30,30,6,2014
42,2010-07-12,12,7,2010
43,2014-07-08,8,7,2014
44,2013-12-28,28,12,2013
45,2013-04-19,19,4,2013
46,2016-04-27,27,4,2016
47,2018-12-03,3,12,2018
48,2019-04-01,1,4,2019
49,1997-02-16,16,2,1997
50,1997-02-23,23,2,1997
51,2019-12-06,6,12,2019
52,2018-12-03,3,12,2018
53,2013-12-06,6,12,2013
54,2016-09-26,26,9,2016
55,2016-09-26,26,9,2016
56,2016-09-26,26,9,2016
57,2010-07-12,12,7,2010
58,1997-05-24,24,5,1997
59,1997-08-28,28,8,1997
60,1997-09-04,4,9,1997
61,1997-09-23,23,9,1997
62,1997-10-24,24,10,1997
63,1997-11-08,8,11,1997
64,1997-12-02,2,12,1997
65,1998-02-04,4,2,1998
66,1998-03-16,16,3,1998
67,1998-05-09,9,5,1998
68,1998-08-30,30,8,1998
69,1999-01-21,21,1,1999
70,1999-02-15,15,2,1999
71,1999-02-26,26,2,1999
72,2019-07-05,5,7,2019
73,1999-03-21,21,3,1999
74,1999-05-20,20,5,1999
75,1999-09-04,4,9,1999
76,1974-11-15,15,11,1974
77,2019-12-18,18,12,2019
78,1999-09-26,26,9,1999
79,1999-10-19,19,10,1999
80,1999-11-13,13,11,1999
81,1999-11-24,24,11,1999
82,2000-01-01,1,1,2000
83,2019-01-18,18,1,2019
84,2004-06-29,29,6,2004
85,2014-06-19,19,6,2014
86,2004-06-29,29,6,2004
87,2009-07-29,29,7,2009
88,2009-07-29,29,7,2009
89,2011-08-17,17,8,2011
90,2013-11-21,21,11,2013
91,2013-11-21,21,11,2013
92,2014-06-19,19,6,2014
93,2000-03-21,21,3,2000
94,2000-05-18,18,5,2000
95,2000-05-24,24,5,2000
96,2000-06-30,30,6,2000
97,2000-07-28,28,7,2000
98,2000-08-17,17,8,2000
99,2000-09-14,14,9,2000
100,2018-01-11,11,1,2018
101,2000-10-02,2,10,2000
102,2000-10-07,7,10,2000
103,2000-10-20,20,10,2000
