Country_of_Operator_Owner,Satellite_Counts
Algeria,5
Argentina,16
Australia,12
Austria,1
Azerbaijan,2
Bangladesh,1
Belarus,2
Belgium,1
Bhutan,1
Bolivia,1
Brazil,11
Bulgaria,1
Canada,39
Chile,1
China,356
China/Brazil,2
China/France,2
China/Germany,2
China/Italy,1
Colombia,1
Czech Republic,3
Denmark,5
ESA,53
ESA/USA,1
ESA/USA/Russia,1
Ecuador,1
Egypt,3
Ethiopia,1
Finland,7
France,12
France/Belgium/Sweden,2
France/Israel,1
France/Italy,3
France/Italy/Belgium/Spain/Greece,2
France/USA,1
Germany,37
Greece,2
Greece/United Kingdom,1
Hungary,2
India,58
India/Canada,1
India/France,2
Indonesia,9
Iran,1
Iraq,1
Israel,15
Italy,12
Japan,78
Japan/Singapore,2
Jordan,1
Kazakhstan,7
Laos,1
Latvia,1
Lithuania,2
Luxembourg,32
Malaysia,5
Mexico,4
Morocco,2
Morocco/Germany,1
Multinational,64
Nepal,1
Netherlands,12
Nigeria,3
Norway,7
Pakistan,3
Peru,1
Philippines,2
Poland,2
Qatar,1
Russia,167
Russia/USA,2
Saudi Arabia,13
Singapore,8
Singapore/Taiwan,1
South Africa,5
South Korea,16
Spain,21
Sri Lanka,1
Sudan,1
Sweden,2
Switzerland,4
Taiwan,1
Taiwan/USA,11
Thailand,5
Turkey,7
Turkmenistan/Monaco,1
USA,1308
USA/Argentina,4
USA/Canada,2
USA/Canada/Japan,1
USA/France,1
USA/Germany,2
USA/Japan,5
USA/Japan/Brazil,1
USA/Mexico,1
USA/Sweden,1
USA/United Kingdom/Italy,1
Ukraine,1
United Arab Emirates,8
United Kingdom,130
United Kingdom/ESA,1
Venezuela,2
Vietnam,4
