SN,Country_of_Operator_Owner,Value_Counts
0,USA,1343
1,China,363
2,Russia,170
3,United Kingdom,133
4,Japan,87
5,Multinational,64
6,India,61
7,ESA,56
8,Canada,43
9,Germany,42
10,Luxembourg,32
11,France,26
12,Spain,23
13,Argentina,20
14,Italy,19
15,South Korea,16
16,Israel,16
17,Brazil,14
18,Taiwan,13
19,Saudi Arabia,13
20,Australia,12
21,Netherlands,12
22,Singapore,11
23,Indonesia,9
24,United Arab Emirates,8
25,Kazakhstan,7
26,Norway,7
27,Finland,7
28,Turkey,7
29,Thailand,5
30,Greece,5
31,Belgium,5
32,Algeria,5
33,Malaysia,5
34,Mexico,5
35,South Africa,5
36,Denmark,5
37,Sweden,5
38,Vietnam,4
39,Switzerland,4
40,Nigeria,3
41,Morocco,3
42,Egypt,3
43,Czech Republic,3
44,Pakistan,3
45,Lithuania,2
46,Belarus,2
47,Philippines,2
48,Hungary,2
49,Azerbaijan,2
50,Venezuela,2
51,Poland,2
52,Bulgaria,1
53,Qatar,1
54,Laos,1
55,Iraq,1
56,Ukraine,1
57,Sri Lanka,1
58,Bolivia,1
59,Iran,1
60,Latvia,1
61,Peru,1
62,Bangladesh,1
63,Colombia,1
64,Nepal,1
65,Austria,1
66,Jordan,1
67,Turkmenistan,1
68,Ethiopia,1
69,Ecuador,1
70,Monaco,1
71,Sudan,1
72,Chile,1
73,Bhutan,1
